City,Year,PM2.5 (µg/m³),SmartCity,EV,GreenCover,PopulationDensity,AT (°C),RH (%),WS (m/s),RF (mm)
Ludhiana,2019,53.15835164835165,1.0,185,47.57,109.48,25.770373073616994,69.9751506849315,0.4568767123287671,0.02287671232876712
Ludhiana,2020,45.11013661202186,1.0,287,47.57,109.48,25.770373073616994,69.74448087431693,0.4568852459016393,0.02287671232876712
Ludhiana,2021,54.27057534246575,1.0,1127,47.57,109.48,25.770373073616994,69.93498630136986,0.4265205479452055,0.02287671232876712
Ludhiana,2022,59.2654794520548,1.0,4433,47.57,109.48,25.770373073616994,70.82342465753425,0.40616438356164386,0.02287671232876712
Ludhiana,2023,61.14259499073493,1.0,13721,47.57,109.48,25.770373073616994,74.62959263844688,0.4029201153946743,0.02287671232876712
Ludhiana,2024,60.46890710382513,1.0,21769,47.57,109.48,25.770373073616994,70.6812568306011,0.4480327868852459,0.02287671232876712
Ludhiana,2025,52.46419178082192,1.0,24412,47.57,109.48,25.770373073616994,73.0298904109589,0.40035616438356164,0.02287671232876712
Mysuru,2017,48.384498256863054,0.0,2,1043.06,255.48,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Mysuru,2018,48.384498256863054,0.0,47,1043.06,255.48,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Mysuru,2019,22.685859872611463,0.0,73,1043.06,255.48,23.492292993630574,79.35675159235669,0.7180891719745223,0.03139240506329114
Mysuru,2020,16.707048192771083,0.0,140,1043.06,255.48,27.313457446808513,70.78006024096385,0.8187613293051359,0.000425531914893617
Mysuru,2021,20.277084548104956,0.0,408,1043.06,255.48,23.7105,71.2957725947522,0.7306122448979592,0.02287671232876712
Mysuru,2022,20.093561643835617,0.0,893,1043.06,255.48,25.770373073616994,72.52082191780822,0.470027397260274,0.02287671232876712
Mysuru,2023,21.499312977159963,0.0,1555,1043.06,255.48,25.770373073616994,67.37664557059973,0.5054834174165476,0.02287671232876712
Mysuru,2024,19.38311475409836,0.0,2086,1043.06,255.48,25.99296,72.64243169398907,0.3955464480874317,0.02287671232876712
Mysuru,2025,18.0803125,0.0,2314,1043.06,255.48,27.70784090909091,74.95017045454546,0.4019034090909091,0.02287671232876712
Nashik,2017,63.096064516129026,0.0,33,1112.12,207.13,25.770373073616994,67.78151515151515,2.1708247422680413,0.02287671232876712
Nashik,2018,38.73671270718232,0.0,449,1112.12,207.13,25.770373073616994,67.78151515151515,2.710275482093664,0.02287671232876712
Nashik,2019,36.78888571428572,0.0,762,1112.12,207.13,25.770373073616994,67.78151515151515,2.610702247191011,0.02287671232876712
Nashik,2020,32.29961432506887,0.0,1043,1112.12,207.13,25.770373073616994,67.78151515151515,2.435482093663912,0.02287671232876712
Nashik,2021,40.01829608938547,0.0,2966,1112.12,207.13,25.770373073616994,67.78151515151515,2.3589944134078213,0.02287671232876712
Nashik,2022,35.87157303370787,0.0,9283,1112.12,207.13,25.770373073616994,67.78151515151515,2.4191618497109824,0.02287671232876712
Nashik,2023,37.69510405286613,0.0,18283,1112.12,207.13,25.770373073616994,67.78151515151515,3.013196791189643,0.02287671232876712
Nashik,2024,43.268121546961325,0.0,23341,1112.12,207.13,25.770373073616994,67.78151515151515,2.0104683195592283,0.02287671232876712
Nashik,2025,37.91282967032967,0.0,24856,1112.12,207.13,25.770373073616994,67.78151515151515,1.8616758241758242,0.02287671232876712
Panipat,2017,48.384498256863054,0.0,0,15.97,129.63,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Panipat,2018,48.384498256863054,0.0,45,15.97,129.63,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Panipat,2019,74.24584269662921,0.0,56,15.97,129.63,13.34,67.10517543859649,0.7645505617977528,0.014972067039106146
Panipat,2020,63.35575342465753,0.0,111,15.97,129.63,25.770373073616994,70.94022535211268,0.6244505494505495,0.014289693593314763
Panipat,2021,61.19180981595092,0.0,674,15.97,129.63,25.770373073616994,62.51625,0.6344171779141105,0.011134969325153374
Panipat,2022,50.14301003344482,0.0,1499,15.97,129.63,25.770373073616994,60.16108949416342,1.323014705882353,0.004327868852459017
Panipat,2023,42.358761913783205,0.0,2068,15.97,129.63,25.770373073616994,61.315895618985635,2.0731894312719144,0.00904888291168701
Panipat,2024,63.843264094955494,0.0,2524,15.97,129.63,25.770373073616994,57.38854430379747,4.9904065040650405,0.002455621301775148
Panipat,2025,102.48868131868132,0.0,2552,15.97,129.63,25.770373073616994,61.15293333333334,5.104130434782609,0.0
Pune,2020,74.32904761904763,0.0,3841,1716.95,109.82,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Pune,2021,51.8494670846395,0.0,13734,1716.95,109.82,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Pune,2022,70.17033519553073,0.0,44237,1716.95,109.82,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
